depth, CV_SCORE, TRAIN_SCORE, TEST_SCORE
1,0.796990321,0.824868651,0.811188811
2,0.810845,0.88441331,0.699300699
3,0.779563132,0.940455342,0.755244755
4,0.786304122,0.987740806,0.664335664
5,0.772052977,0.991243433,0.692307692
6,0.794681747,0.991243433,0.622377622
7,0.798098695,0.991243433,0.671328671
8,0.796344309,0.991243433,0.692307692
9,0.802038501,0.991243433,0.678321678
10,0.779132097,0.991243433,0.671328671
11,0.796589534,0.991243433,0.734265734
12,0.796588454,0.991243433,0.741258741
13,0.784088454,0.991243433,0.706293706
14,0.796680278,0.991243433,0.72027972
15,0.78618313,0.991243433,0.72027972
16,0.785965993,0.991243433,0.706293706
17,0.784366088,0.991243433,0.734265734
18,0.77368313,0.991243433,0.727272727
19,0.784396336,0.991243433,0.72027972
20,0.796465301,0.991243433,0.692307692
21,0.789416429,0.991243433,0.692307692
22,0.803639487,0.991243433,0.699300699
23,0.780640178,0.991243433,0.706293706
24,0.791325296,0.991243433,0.671328671
25,0.791322055,0.991243433,0.699300699
26,0.780825987,0.991243433,0.685314685
27,0.784427664,0.991243433,0.72027972
28,0.770266183,0.991243433,0.72027972
29,0.782459381,0.991243433,0.72027972
30,0.785875248,0.991243433,0.713286713
31,0.789538501,0.991243433,0.664335664
32,0.789415349,0.991243433,0.734265734
33,0.778886872,0.991243433,0.706293706
34,0.796373477,0.991243433,0.72027972
35,0.786029729,0.991243433,0.741258741
36,0.780580762,0.991243433,0.706293706
37,0.789260868,0.991243433,0.748251748
38,0.775684902,0.991243433,0.727272727
39,0.784274263,0.991243433,0.748251748
40,0.771958992,0.991243433,0.692307692
41,0.787784115,0.991243433,0.72027972
42,0.787599386,0.991243433,0.692307692
43,0.784427664,0.991243433,0.685314685
44,0.784398496,0.991243433,0.678321678
45,0.789538501,0.991243433,0.72027972
46,0.758166969,0.991243433,0.706293706
47,0.789323524,0.991243433,0.706293706
48,0.787568058,0.991243433,0.685314685
49,0.777317215,0.991243433,0.72027972
50,0.792863625,0.991243433,0.685314685
51,0.787999093,0.991243433,0.741258741
52,0.784057126,0.991243433,0.769230769
53,0.78433584,0.991243433,0.629370629
54,0.779162346,0.991243433,0.685314685
55,0.787629634,0.991243433,0.713286713
56,0.798219687,0.991243433,0.706293706
57,0.777315055,0.991243433,0.692307692
58,0.791261559,0.991243433,0.713286713
59,0.79141712,0.991243433,0.741258741
60,0.787752787,0.991243433,0.748251748
61,0.772051897,0.991243433,0.685314685
62,0.794648259,0.991243433,0.706293706
63,0.784274263,0.991243433,0.706293706
64,0.773744707,0.991243433,0.699300699
65,0.768480468,0.991243433,0.706293706
66,0.793232002,0.991243433,0.699300699
67,0.779316827,0.991243433,0.671328671
68,0.773744707,0.991243433,0.713286713
69,0.774114165,0.991243433,0.699300699
70,0.774082836,0.991243433,0.664335664
71,0.793079682,0.991243433,0.72027972
72,0.789478005,0.991243433,0.72027972
73,0.768540964,0.991243433,0.706293706
74,0.784274263,0.991243433,0.727272727
75,0.773776035,0.991243433,0.699300699
76,0.78787594,0.991243433,0.72027972
77,0.775437516,0.991243433,0.692307692
78,0.775438596,0.991243433,0.713286713
79,0.785783424,0.991243433,0.727272727
80,0.777038501,0.991243433,0.741258741
81,0.780824907,0.991243433,0.713286713
82,0.782458301,0.991243433,0.692307692
83,0.779132097,0.991243433,0.755244755
84,0.780886483,0.991243433,0.72027972
85,0.779194754,0.991243433,0.699300699
86,0.791109239,0.991243433,0.699300699
87,0.787907268,0.991243433,0.727272727
88,0.793017025,0.991243433,0.692307692
89,0.782550125,0.991243433,0.734265734
90,0.773866779,0.991243433,0.713286713
91,0.792986777,0.991243433,0.685314685
92,0.785905496,0.991243433,0.727272727
93,0.780887564,0.991243433,0.692307692
94,0.784273183,0.991243433,0.699300699
95,0.775683822,0.991243433,0.692307692
96,0.775468845,0.991243433,0.706293706
97,0.787598306,0.991243433,0.713286713
98,0.780702835,0.991243433,0.678321678
99,0.777377712,0.991243433,0.706293706
100,0.779100769,0.991243433,0.734265734